Cat,Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
SPEC 2017,605.mcf,nopref,0.24962,24579397,22022853,1118526,1438018,1
SPEC 2017,605.mcf,spp,0.32933,27745980,14257227,1076177,982728,1
SPEC 2017,605.mcf,bingo,0.42658,34401053,3050995,1028572,1151973,1
SPEC 2017,605.mcf,mlop,0.29146,28308297,12370194,1071489,1286131,1
SPEC 2017,605.mcf,dspatch,0.35625,31111738,11996080,1045560,1098798,1
SPEC 2017,605.mcf,spp_ppf_dev,0.42752,33814414,2101255,1032842,1108511,1
SPEC 2017,605.mcf,pythia,0.39063,35125880,6316859,1023760,1241193,1
SPEC 2017,605.mcf,SpikeFetch,0.37891,36179656,6569533,1044235,1278429,1

SPEC 2017,620.omnetpp,nopref,0.2285,5930571,4467959,566057,896555,1
SPEC 2017,620.omnetpp,spp,0.22926,6382223,4278213,567597,762638,1
SPEC 2017,620.omnetpp,bingo,0.23874,12929860,2704725,478374,613215,1
SPEC 2017,620.omnetpp,mlop,0.23297,9499857,3669549,445303,784035,1
SPEC 2017,620.omnetpp,dspatch,0.23709,13655429,2987234,426751,877038,1
SPEC 2017,620.omnetpp,spp_ppf_dev,0.235,11671921,3266601,485581,933162,1
SPEC 2017,620.omnetpp,pythia,0.23559,8410019,3365155,452407,872328,1
SPEC 2017,620.omnetpp,SpikeFetch,0.22852,8662320,3499761,461455,898498,1

SPEC 2017,623.xalancbmk,nopref,0.31019,6027567,5944108,64759,18700,1
SPEC 2017,623.xalancbmk,spp,0.31021,8052268,6123441,81304,32809,1
SPEC 2017,623.xalancbmk,bingo,0.30853,42326848,6064528,86169,63536,1
SPEC 2017,623.xalancbmk,mlop,0.30212,13657020,7664341,75735,48026,1
SPEC 2017,623.xalancbmk,dspatch,0.31178,21445320,7133060,52543,12109,1
SPEC 2017,623.xalancbmk,spp_ppf_dev,0.33027,20954317,5767030,60960,17177,1
SPEC 2017,623.xalancbmk,pythia,0.3314,11370196,5475974,61630,15300,1
SPEC 2017,623.xalancbmk,SpikeFetch,0.32146,11711302,5695013,62863,15759,1

SPEC 2017,607.cactuBSSN,nopref,0.88877,3851315,3850168,585,562,1
SPEC 2017,607.cactuBSSN,spp,1.15824,4008876,570337,195,1273,1
SPEC 2017,607.cactuBSSN,bingo,0.89933,3851056,3697510,542,592,1
SPEC 2017,607.cactuBSSN,mlop,1.28737,3844729,69605,4,4,1
SPEC 2017,607.cactuBSSN,dspatch,1.22892,3935959,224540,15,157,1
SPEC 2017,607.cactuBSSN,spp_ppf_dev,1.2046,4140519,221272,101,326,1
SPEC 2017,607.cactuBSSN,pythia,1.2553,3929085,77487,11,25,1
SPEC 2017,607.cactuBSSN,SpikeFetch,1.21764,4046958,80586,12,26,1

SPEC 2017,619.lbm,nopref,0.55679,16683600,3001139,9019954,4662507,1
SPEC 2017,619.lbm,spp,0.7336,16697695,285006,9021357,4675175,1
SPEC 2017,619.lbm,bingo,0.74725,16673858,128938,9019987,4652701,1
SPEC 2017,619.lbm,mlop,0.74416,16674709,142415,9019379,4653578,1
SPEC 2017,619.lbm,dspatch,0.74306,16675124,128121,9020023,4653892,1
SPEC 2017,619.lbm,spp_ppf_dev,0.74523,16675086,113009,9019917,4653949,1
SPEC 2017,619.lbm,pythia,0.67666,16679931,465029,9019843,4658906,1
SPEC 2017,619.lbm,SpikeFetch,0.69019,16513132,455728,8929645,4612317,1

SPEC 2017,628.pop2,nopref,0.95839,2121525,1050689,646547,424289,1
SPEC 2017,628.pop2,spp,1.11506,2221525,140426,674998,362222,1
SPEC 2017,628.pop2,bingo,1.11645,2143015,174950,646576,369398,1
SPEC 2017,628.pop2,mlop,1.11488,2254829,147040,659235,368144,1
SPEC 2017,628.pop2,dspatch,1.08021,2266098,311321,645418,308981,1
SPEC 2017,628.pop2,spp_ppf_dev,1.15477,2214426,58257,643819,375868,1
SPEC 2017,628.pop2,pythia,1.14435,2166634,57116,644989,393269,1
